,location_id,total,name,year,location_name
154,2,3631,Brasil,2018,Rural
155,2,3685,Brasil,2019,Rural
156,1,74846,Brasil,2007,Urbana
157,1,75635,Brasil,2008,Urbana
158,1,76539,Brasil,2009,Urbana
159,1,77413,Brasil,2010,Urbana
160,1,81170,Brasil,2015,Urbana
161,1,82032,Brasil,2016,Urbana
162,1,82769,Brasil,2017,Urbana
163,1,82896,Brasil,2018,Urbana
164,1,83570,Brasil,2019,Urbana
165,2,77015,Brasil,2007,Rural
166,2,75785,Brasil,2008,Rural
167,2,73535,Brasil,2009,Rural
168,2,70680,Brasil,2010,Rural
169,2,59328,Brasil,2015,Rural
170,2,58013,Brasil,2016,Rural
171,2,56008,Brasil,2017,Rural
172,2,53217,Brasil,2018,Rural
173,2,51807,Brasil,2019,Rural
174,1,19591,Brasil,2015,Urbana
175,1,19618,Brasil,2016,Urbana
176,1,19707,Brasil,2017,Urbana
177,1,19025,Brasil,2018,Urbana
178,1,19238,Brasil,2019,Urbana
179,2,9665,Brasil,2015,Rural
180,2,9871,Brasil,2016,Rural
181,2,9961,Brasil,2017,Rural
182,2,9418,Brasil,2018,Rural
183,2,9361,Brasil,2019,Rural
184,1,74846,Brasil,2007,Urbana
185,1,75635,Brasil,2008,Urbana
186,1,76539,Brasil,2009,Urbana
187,1,77413,Brasil,2010,Urbana
188,1,81170,Brasil,2015,Urbana
189,1,82032,Brasil,2016,Urbana
190,1,82769,Brasil,2017,Urbana
191,1,82896,Brasil,2018,Urbana
192,1,83570,Brasil,2019,Urbana
193,1,74846,Brasil,2007,Urbana
194,1,75635,Brasil,2008,Urbana
195,1,76539,Brasil,2009,Urbana
196,1,77413,Brasil,2010,Urbana
197,1,81170,Brasil,2015,Urbana
198,1,82032,Brasil,2016,Urbana
199,1,82769,Brasil,2017,Urbana
200,1,82896,Brasil,2018,Urbana
201,1,83570,Brasil,2019,Urbana
202,2,77015,Brasil,2007,Rural
203,2,75785,Brasil,2008,Rural
204,2,73535,Brasil,2009,Rural
205,2,70680,Brasil,2010,Rural
206,2,59328,Brasil,2015,Rural
207,2,58013,Brasil,2016,Rural
208,2,56008,Brasil,2017,Rural
209,2,53217,Brasil,2018,Rural
210,2,51807,Brasil,2019,Rural
211,1,74846,Brasil,2007,Urbana
212,1,75635,Brasil,2008,Urbana
213,1,76539,Brasil,2009,Urbana
214,1,77413,Brasil,2010,Urbana
215,1,81170,Brasil,2015,Urbana
216,1,82032,Brasil,2016,Urbana
217,1,82769,Brasil,2017,Urbana
218,1,82896,Brasil,2018,Urbana
219,1,83570,Brasil,2019,Urbana
220,2,77015,Brasil,2007,Rural
221,2,75785,Brasil,2008,Rural
222,2,73535,Brasil,2009,Rural
223,2,70680,Brasil,2010,Rural
224,2,59328,Brasil,2015,Rural
225,2,58013,Brasil,2016,Rural
226,2,56008,Brasil,2017,Rural
227,2,53217,Brasil,2018,Rural
228,2,51807,Brasil,2019,Rural
229,1,74846,Brasil,2007,Urbana
230,1,75635,Brasil,2008,Urbana
231,1,76539,Brasil,2009,Urbana
232,1,77413,Brasil,2010,Urbana
233,1,81170,Brasil,2015,Urbana
234,1,82032,Brasil,2016,Urbana
235,1,82769,Brasil,2017,Urbana
236,1,82896,Brasil,2018,Urbana
237,1,83570,Brasil,2019,Urbana
238,2,77015,Brasil,2007,Rural
239,2,75785,Brasil,2008,Rural
240,2,73535,Brasil,2009,Rural
241,2,70680,Brasil,2010,Rural
242,2,59328,Brasil,2015,Rural
243,2,58013,Brasil,2016,Rural
244,2,56008,Brasil,2017,Rural
245,2,53217,Brasil,2018,Rural
246,2,51807,Brasil,2019,Rural
247,1,74846,Brasil,2007,Urbana
248,1,75635,Brasil,2008,Urbana
249,1,76539,Brasil,2009,Urbana
250,1,77413,Brasil,2010,Urbana
251,1,81170,Brasil,2015,Urbana
252,1,82032,Brasil,2016,Urbana
253,1,82769,Brasil,2017,Urbana
254,1,82896,Brasil,2018,Urbana
255,1,83570,Brasil,2019,Urbana
256,2,77015,Brasil,2007,Rural
257,2,75785,Brasil,2008,Rural
258,2,73535,Brasil,2009,Rural
259,2,70680,Brasil,2010,Rural
260,2,59328,Brasil,2015,Rural
261,2,58013,Brasil,2016,Rural
262,2,56008,Brasil,2017,Rural
263,2,53217,Brasil,2018,Rural
264,2,51807,Brasil,2019,Rural
265,1,74846,Brasil,2007,Urbana
266,1,75635,Brasil,2008,Urbana
267,1,76539,Brasil,2009,Urbana
268,1,77413,Brasil,2010,Urbana
269,1,81170,Brasil,2015,Urbana
270,1,82032,Brasil,2016,Urbana
271,1,82769,Brasil,2017,Urbana
272,1,82896,Brasil,2018,Urbana
273,1,83570,Brasil,2019,Urbana
274,2,77015,Brasil,2007,Rural
275,2,75785,Brasil,2008,Rural
276,2,73535,Brasil,2009,Rural
277,2,70680,Brasil,2010,Rural
278,2,59328,Brasil,2015,Rural
279,2,58013,Brasil,2016,Rural
280,2,56008,Brasil,2017,Rural
281,2,53217,Brasil,2018,Rural
282,2,51807,Brasil,2019,Rural
283,2,77015,Brasil,2007,Rural
284,2,75785,Brasil,2008,Rural
285,2,73535,Brasil,2009,Rural
286,2,70680,Brasil,2010,Rural
287,2,59328,Brasil,2015,Rural
288,2,58013,Brasil,2016,Rural
289,2,56008,Brasil,2017,Rural
290,2,53217,Brasil,2018,Rural
291,2,51807,Brasil,2019,Rural
292,1,74846,Brasil,2007,Urbana
293,1,75635,Brasil,2008,Urbana
