,sigla_uf,cod_uf,tipo_preco,preco
643,MS,27,CUB R1,1731.05
644,MS,28,CUB R1,1671.14
645,MS,28,CUB R1,1731.05
646,MS,29,CUB R1,1671.14
647,MS,29,CUB R1,1731.05
648,MS,31,CUB R1,1671.14
649,MS,31,CUB R1,1731.05
650,MS,32,CUB R1,1671.14
651,MS,32,CUB R1,1731.05
652,MS,33,CUB R1,1671.14
653,MS,33,CUB R1,1731.05
654,MS,35,CUB R1,1671.14
655,MS,35,CUB R1,1731.05
656,MS,41,CUB R1,1671.14
657,MS,41,CUB R1,1731.05
658,MS,42,CUB R1,1671.14
659,MS,42,CUB R1,1731.05
660,MS,43,CUB R1,1671.14
661,MS,43,CUB R1,1731.05
662,MS,50,CUB R1,1671.14
663,MS,50,CUB R1,1731.05
664,MS,51,CUB R1,1671.14
665,MS,51,CUB R1,1731.05
666,MS,52,CUB R1,1671.14
667,MS,52,CUB R1,1731.05
668,MS,53,CUB R1,1671.14
669,MS,53,CUB R1,1731.05
670,MS,99,CUB R1,1671.14
671,MS,99,CUB R1,1731.05
672,MT,11,CUB R1,2079.41
673,MT,11,CUB R1,2183.69
674,MT,12,CUB R1,2079.41
675,MT,12,CUB R1,2183.69
676,MT,13,CUB R1,2079.41
677,MT,13,CUB R1,2183.69
678,MT,14,CUB R1,2079.41
679,MT,14,CUB R1,2183.69
680,MT,15,CUB R1,2079.41
681,MT,15,CUB R1,2183.69
682,MT,16,CUB R1,2079.41
683,MT,16,CUB R1,2183.69
684,MT,17,CUB R1,2079.41
685,MT,17,CUB R1,2183.69
686,MT,21,CUB R1,2079.41
687,MT,21,CUB R1,2183.69
688,MT,22,CUB R1,2079.41
689,MT,22,CUB R1,2183.69
690,MT,23,CUB R1,2079.41
691,MT,23,CUB R1,2183.69
692,MT,24,CUB R1,2079.41
693,MT,24,CUB R1,2183.69
694,MT,25,CUB R1,2079.41
695,MT,25,CUB R1,2183.69
696,MT,26,CUB R1,2079.41
697,MT,26,CUB R1,2183.69
698,MT,27,CUB R1,2079.41
699,MT,27,CUB R1,2183.69
700,MT,28,CUB R1,2079.41
701,MT,28,CUB R1,2183.69
702,MT,29,CUB R1,2079.41
703,MT,29,CUB R1,2183.69
704,MT,31,CUB R1,2079.41
705,MT,31,CUB R1,2183.69
706,MT,32,CUB R1,2079.41
707,MT,32,CUB R1,2183.69
708,MT,33,CUB R1,2079.41
709,MT,33,CUB R1,2183.69
710,MT,35,CUB R1,2079.41
711,MT,35,CUB R1,2183.69
712,MT,41,CUB R1,2079.41
713,MT,41,CUB R1,2183.69
714,MT,42,CUB R1,2183.69
715,MT,42,CUB R1,2079.41
716,MT,43,CUB R1,2079.41
717,MT,43,CUB R1,2183.69
718,MT,50,CUB R1,2079.41
719,MT,50,CUB R1,2183.69
720,MT,51,CUB R1,2079.41
721,MT,51,CUB R1,2183.69
722,MT,52,CUB R1,2079.41
723,MT,52,CUB R1,2183.69
724,MT,53,CUB R1,2079.41
725,MT,53,CUB R1,2183.69
726,MT,99,CUB R1,2079.41
727,MT,99,CUB R1,2183.69
728,PA,11,CUB R1,1846.52
729,PA,11,CUB R1,1894.77
730,PA,12,CUB R1,1894.77
731,PA,12,CUB R1,1846.52
732,PA,13,CUB R1,1846.52
733,PA,13,CUB R1,1894.77
734,PA,14,CUB R1,1894.77
735,PA,14,CUB R1,1846.52
736,PA,15,CUB R1,1894.77
737,PA,15,CUB R1,1846.52
738,PA,16,CUB R1,1894.77
739,PA,16,CUB R1,1846.52
740,PA,17,CUB R1,1894.77
741,PA,17,CUB R1,1846.52
742,PA,21,CUB R1,1894.77
743,PA,21,CUB R1,1846.52
744,PA,22,CUB R1,1894.77
745,PA,22,CUB R1,1846.52
746,PA,23,CUB R1,1894.77
747,PA,23,CUB R1,1846.52
748,PA,24,CUB R1,1894.77
749,PA,24,CUB R1,1846.52
750,PA,25,CUB R1,1894.77
751,PA,25,CUB R1,1846.52
752,PA,26,CUB R1,1894.77
753,PA,26,CUB R1,1846.52
754,PA,27,CUB R1,1894.77
755,PA,27,CUB R1,1846.52
756,PA,28,CUB R1,1894.77
757,PA,28,CUB R1,1846.52
758,PA,29,CUB R1,1894.77
759,PA,29,CUB R1,1846.52
760,PA,31,CUB R1,1894.77
761,PA,31,CUB R1,1846.52
762,PA,32,CUB R1,1894.77
763,PA,32,CUB R1,1846.52
764,PA,33,CUB R1,1894.77
765,PA,33,CUB R1,1846.52
766,PA,35,CUB R1,1894.77
767,PA,35,CUB R1,1846.52
768,PA,41,CUB R1,1894.77
769,PA,41,CUB R1,1846.52
770,PA,42,CUB R1,1894.77
771,PA,42,CUB R1,1846.52
772,PA,43,CUB R1,1894.77
