,total,year,adm_dependency_detailed_id,school_year_id,adm_dependency_detailed_name,school_year_name
166,98636,2008,4,13.0,Privada conveniada sem fins lucrativos,Creche - 2 anos
167,122461,2008,4,14.0,Privada conveniada sem fins lucrativos,Creche - 3 anos
168,107635,2008,4,21.0,Privada conveniada sem fins lucrativos,Pré-escola - 4 anos
169,82065,2008,4,22.0,Privada conveniada sem fins lucrativos,Pré-escola - 5 anos
170,63336,2008,4,31.0,Privada conveniada sem fins lucrativos,Ens. Fundamental - 1º Ano
171,79206,2008,4,32.0,Privada conveniada sem fins lucrativos,Ens. Fundamental - 1ª série/2º ano
172,41771,2008,4,33.0,Privada conveniada sem fins lucrativos,Ens. Fundamental - 2ª série/3º ano
173,34592,2008,4,34.0,Privada conveniada sem fins lucrativos,Ens. Fundamental - 3ª série/4º ano
174,33287,2008,4,35.0,Privada conveniada sem fins lucrativos,Ens. Fundamental - 4ª série/5º Ano
175,29266,2008,4,41.0,Privada conveniada sem fins lucrativos,Ens. Fundamental - 5ª série/6º ano
176,29026,2008,4,42.0,Privada conveniada sem fins lucrativos,Ens. Fundamental - 6ª série/7º ano
177,27903,2008,4,43.0,Privada conveniada sem fins lucrativos,Ens. Fundamental - 7ª série/8º ano
178,27620,2008,4,44.0,Privada conveniada sem fins lucrativos,Ens. Fundamental - 8ª serie/9º ano
179,26898,2008,4,51.0,Privada conveniada sem fins lucrativos,Ens. Médio - 1ª série
180,20548,2008,4,52.0,Privada conveniada sem fins lucrativos,Ens. Médio - 2ª série
181,18345,2008,4,53.0,Privada conveniada sem fins lucrativos,Ens. Médio - 3ª série
182,789,2008,4,54.0,Privada conveniada sem fins lucrativos,Ens. Médio - 4ª série
183,30422,2008,4,61.0,Privada conveniada sem fins lucrativos,EJA - anos iniciais do Ens. Fundamental
184,1579,2008,4,62.0,Privada conveniada sem fins lucrativos,EJA - anos finais do Ens. Fundamental
185,878,2008,4,63.0,Privada conveniada sem fins lucrativos,EJA - Ensino Médio
186,27911,2008,4,71.0,Privada conveniada sem fins lucrativos,Educação Profissional
187,6927,2008,5,,Privada conveniada com fins lucrativos,Não classificada
188,2672,2008,5,11.0,Privada conveniada com fins lucrativos,Creche - Menor de 1 ano
189,7979,2008,5,12.0,Privada conveniada com fins lucrativos,Creche - 1 ano
190,16995,2008,5,13.0,Privada conveniada com fins lucrativos,Creche - 2 anos
191,22514,2008,5,14.0,Privada conveniada com fins lucrativos,Creche - 3 anos
192,20934,2008,5,21.0,Privada conveniada com fins lucrativos,Pré-escola - 4 anos
193,18609,2008,5,22.0,Privada conveniada com fins lucrativos,Pré-escola - 5 anos
194,10462,2008,5,31.0,Privada conveniada com fins lucrativos,Ens. Fundamental - 1º Ano
195,13397,2008,5,32.0,Privada conveniada com fins lucrativos,Ens. Fundamental - 1ª série/2º ano
196,13669,2008,5,33.0,Privada conveniada com fins lucrativos,Ens. Fundamental - 2ª série/3º ano
197,13145,2008,5,34.0,Privada conveniada com fins lucrativos,Ens. Fundamental - 3ª série/4º ano
198,12992,2008,5,35.0,Privada conveniada com fins lucrativos,Ens. Fundamental - 4ª série/5º Ano
199,13189,2008,5,41.0,Privada conveniada com fins lucrativos,Ens. Fundamental - 5ª série/6º ano
200,12344,2008,5,42.0,Privada conveniada com fins lucrativos,Ens. Fundamental - 6ª série/7º ano
201,11507,2008,5,43.0,Privada conveniada com fins lucrativos,Ens. Fundamental - 7ª série/8º ano
202,11045,2008,5,44.0,Privada conveniada com fins lucrativos,Ens. Fundamental - 8ª serie/9º ano
203,10865,2008,5,51.0,Privada conveniada com fins lucrativos,Ens. Médio - 1ª série
204,7867,2008,5,52.0,Privada conveniada com fins lucrativos,Ens. Médio - 2ª série
205,9085,2008,5,53.0,Privada conveniada com fins lucrativos,Ens. Médio - 3ª série
206,289,2008,5,54.0,Privada conveniada com fins lucrativos,Ens. Médio - 4ª série
207,144,2008,5,61.0,Privada conveniada com fins lucrativos,EJA - anos iniciais do Ens. Fundamental
208,28204,2008,5,71.0,Privada conveniada com fins lucrativos,Educação Profissional
209,15456,2008,6,,Privada não conveniada sem fins lucrativos,Não classificada
210,2465,2008,6,11.0,Privada não conveniada sem fins lucrativos,Creche - Menor de 1 ano
211,8764,2008,6,12.0,Privada não conveniada sem fins lucrativos,Creche - 1 ano
212,22948,2008,6,13.0,Privada não conveniada sem fins lucrativos,Creche - 2 anos
213,40897,2008,6,14.0,Privada não conveniada sem fins lucrativos,Creche - 3 anos
214,50167,2008,6,21.0,Privada não conveniada sem fins lucrativos,Pré-escola - 4 anos
215,52480,2008,6,22.0,Privada não conveniada sem fins lucrativos,Pré-escola - 5 anos
216,38296,2008,6,31.0,Privada não conveniada sem fins lucrativos,Ens. Fundamental - 1º Ano
217,49565,2008,6,32.0,Privada não conveniada sem fins lucrativos,Ens. Fundamental - 1ª série/2º ano
218,55226,2008,6,33.0,Privada não conveniada sem fins lucrativos,Ens. Fundamental - 2ª série/3º ano
219,55526,2008,6,34.0,Privada não conveniada sem fins lucrativos,Ens. Fundamental - 3ª série/4º ano
220,55622,2008,6,35.0,Privada não conveniada sem fins lucrativos,Ens. Fundamental - 4ª série/5º Ano
221,59655,2008,6,41.0,Privada não conveniada sem fins lucrativos,Ens. Fundamental - 5ª série/6º ano
222,58341,2008,6,42.0,Privada não conveniada sem fins lucrativos,Ens. Fundamental - 6ª série/7º ano
223,57761,2008,6,43.0,Privada não conveniada sem fins lucrativos,Ens. Fundamental - 7ª série/8º ano
224,55991,2008,6,44.0,Privada não conveniada sem fins lucrativos,Ens. Fundamental - 8ª serie/9º ano
225,54834,2008,6,51.0,Privada não conveniada sem fins lucrativos,Ens. Médio - 1ª série
226,48743,2008,6,52.0,Privada não conveniada sem fins lucrativos,Ens. Médio - 2ª série
227,45334,2008,6,53.0,Privada não conveniada sem fins lucrativos,Ens. Médio - 3ª série
228,751,2008,6,54.0,Privada não conveniada sem fins lucrativos,Ens. Médio - 4ª série
229,2468,2008,6,61.0,Privada não conveniada sem fins lucrativos,EJA - anos iniciais do Ens. Fundamental
230,75,2008,6,62.0,Privada não conveniada sem fins lucrativos,EJA - anos finais do Ens. Fundamental
231,43,2008,6,63.0,Privada não conveniada sem fins lucrativos,EJA - Ensino Médio
232,26948,2008,6,71.0,Privada não conveniada sem fins lucrativos,Educação Profissional
233,119315,2008,7,,Privada não conveniada com fins lucrativos,Não classificada
234,14229,2008,7,11.0,Privada não conveniada com fins lucrativos,Creche - Menor de 1 ano
235,49947,2008,7,12.0,Privada não conveniada com fins lucrativos,Creche - 1 ano
236,140010,2008,7,13.0,Privada não conveniada com fins lucrativos,Creche - 2 anos
237,246753,2008,7,14.0,Privada não conveniada com fins lucrativos,Creche - 3 anos
238,304573,2008,7,21.0,Privada não conveniada com fins lucrativos,Pré-escola - 4 anos
239,320621,2008,7,22.0,Privada não conveniada com fins lucrativos,Pré-escola - 5 anos
240,198708,2008,7,31.0,Privada não conveniada com fins lucrativos,Ens. Fundamental - 1º Ano
241,326841,2008,7,32.0,Privada não conveniada com fins lucrativos,Ens. Fundamental - 1ª série/2º ano
242,341699,2008,7,33.0,Privada não conveniada com fins lucrativos,Ens. Fundamental - 2ª série/3º ano
243,338073,2008,7,34.0,Privada não conveniada com fins lucrativos,Ens. Fundamental - 3ª série/4º ano
244,326815,2008,7,35.0,Privada não conveniada com fins lucrativos,Ens. Fundamental - 4ª série/5º Ano
245,319120,2008,7,41.0,Privada não conveniada com fins lucrativos,Ens. Fundamental - 5ª série/6º ano
246,303059,2008,7,42.0,Privada não conveniada com fins lucrativos,Ens. Fundamental - 6ª série/7º ano
247,287405,2008,7,43.0,Privada não conveniada com fins lucrativos,Ens. Fundamental - 7ª série/8º ano
248,276144,2008,7,44.0,Privada não conveniada com fins lucrativos,Ens. Fundamental - 8ª serie/9º ano
249,260286,2008,7,51.0,Privada não conveniada com fins lucrativos,Ens. Médio - 1ª série
250,237045,2008,7,52.0,Privada não conveniada com fins lucrativos,Ens. Médio - 2ª série
251,228708,2008,7,53.0,Privada não conveniada com fins lucrativos,Ens. Médio - 3ª série
252,1967,2008,7,54.0,Privada não conveniada com fins lucrativos,Ens. Médio - 4ª série
