,total,year,school_year_id,location_id,school_year_name,location_name
120,3004329,2009,43.0,1,Ens. Fundamental - 7ª série/8º ano,Urbana
121,350795,2009,43.0,2,Ens. Fundamental - 7ª série/8º ano,Rural
122,2854283,2009,44.0,1,Ens. Fundamental - 8ª serie/9º ano,Urbana
123,299178,2009,44.0,2,Ens. Fundamental - 8ª serie/9º ano,Rural
124,3370642,2009,51.0,1,Ens. Médio - 1ª série,Urbana
125,118449,2009,51.0,2,Ens. Médio - 1ª série,Rural
126,2489483,2009,52.0,1,Ens. Médio - 2ª série,Urbana
127,84988,2009,52.0,2,Ens. Médio - 2ª série,Rural
128,2148714,2009,53.0,1,Ens. Médio - 3ª série,Urbana
129,70401,2009,53.0,2,Ens. Médio - 3ª série,Rural
130,53200,2009,54.0,1,Ens. Médio - 4ª série,Urbana
131,2523,2009,54.0,2,Ens. Médio - 4ª série,Rural
132,765381,2009,61.0,1,EJA - anos iniciais do Ens. Fundamental,Urbana
133,311393,2009,61.0,2,EJA - anos iniciais do Ens. Fundamental,Rural
134,1862280,2009,62.0,1,EJA - anos finais do Ens. Fundamental,Urbana
135,194850,2009,62.0,2,EJA - anos finais do Ens. Fundamental,Rural
136,1540155,2009,63.0,1,EJA - Ensino Médio,Urbana
137,27129,2009,63.0,2,EJA - Ensino Médio,Rural
138,830366,2009,71.0,1,Educação Profissional,Urbana
139,31864,2009,71.0,2,Educação Profissional,Rural
140,115987,2010,11.0,1,Creche - Menor de 1 ano,Urbana
141,3120,2010,11.0,2,Creche - Menor de 1 ano,Rural
142,348298,2010,12.0,1,Creche - 1 ano,Urbana
143,11987,2010,12.0,2,Creche - 1 ano,Rural
144,705138,2010,13.0,1,Creche - 2 anos,Urbana
145,47320,2010,13.0,2,Creche - 2 anos,Rural
146,1236578,2010,14.0,1,Creche - 3 anos,Urbana
147,153891,2010,14.0,2,Creche - 3 anos,Rural
148,1841607,2010,21.0,1,Pré-escola - 4 anos,Urbana
149,324384,2010,21.0,2,Pré-escola - 4 anos,Rural
150,2145824,2010,22.0,1,Pré-escola - 5 anos,Urbana
151,402468,2010,22.0,2,Pré-escola - 5 anos,Rural
152,1957447,2010,31.0,1,Ens. Fundamental - 1º Ano,Urbana
153,447375,2010,31.0,2,Ens. Fundamental - 1º Ano,Rural
154,2622132,2010,32.0,1,Ens. Fundamental - 1ª série/2º ano,Urbana
155,637794,2010,32.0,2,Ens. Fundamental - 1ª série/2º ano,Rural
156,2901515,2010,33.0,1,Ens. Fundamental - 2ª série/3º ano,Urbana
157,703316,2010,33.0,2,Ens. Fundamental - 2ª série/3º ano,Rural
158,2827554,2010,34.0,1,Ens. Fundamental - 3ª série/4º ano,Urbana
159,669728,2010,34.0,2,Ens. Fundamental - 3ª série/4º ano,Rural
160,2952250,2010,35.0,1,Ens. Fundamental - 4ª série/5º Ano,Urbana
161,632596,2010,35.0,2,Ens. Fundamental - 4ª série/5º Ano,Rural
162,3640114,2010,41.0,1,Ens. Fundamental - 5ª série/6º ano,Urbana
163,511360,2010,41.0,2,Ens. Fundamental - 5ª série/6º ano,Rural
164,3256939,2010,42.0,1,Ens. Fundamental - 6ª série/7º ano,Urbana
165,419109,2010,42.0,2,Ens. Fundamental - 6ª série/7º ano,Rural
166,2985090,2010,43.0,1,Ens. Fundamental - 7ª série/8º ano,Urbana
167,348718,2010,43.0,2,Ens. Fundamental - 7ª série/8º ano,Rural
168,2794144,2010,44.0,1,Ens. Fundamental - 8ª serie/9º ano,Urbana
169,297531,2010,44.0,2,Ens. Fundamental - 8ª serie/9º ano,Rural
170,3398418,2010,51.0,1,Ens. Médio - 1ª série,Urbana
171,124407,2010,51.0,2,Ens. Médio - 1ª série,Rural
172,2489404,2010,52.0,1,Ens. Médio - 2ª série,Urbana
173,89630,2010,52.0,2,Ens. Médio - 2ª série,Rural
174,2125340,2010,53.0,1,Ens. Médio - 3ª série,Urbana
175,72482,2010,53.0,2,Ens. Médio - 3ª série,Rural
176,55828,2010,54.0,1,Ens. Médio - 4ª série,Urbana
