,state_id,year,state_abbreviation,valor,sphere_adm_id,financial_data_id,state_name
482,17,2017,TO,1781298.3,1,1,Tocantins
483,17,2017,TO,3107483.3,1,1,Tocantins
484,17,2017,TO,237468991.3,1,1,Tocantins
485,17,2017,TO,4280583.6,1,1,Tocantins
486,17,2017,TO,10356247.8,1,1,Tocantins
487,17,2017,TO,1714409.6,1,1,Tocantins
488,17,2017,TO,1847757.2,1,1,Tocantins
489,17,2017,TO,5959317.3,1,1,Tocantins
490,17,2017,TO,7482579.2,1,1,Tocantins
491,21,2017,MA,86131122.9,1,1,Maranhão
492,21,2017,MA,9378083.6,1,1,Maranhão
493,21,2017,MA,11021287.0,1,1,Maranhão
494,21,2017,MA,15135630.7,1,1,Maranhão
495,21,2017,MA,30653299.2,1,1,Maranhão
496,21,2017,MA,9050267.2,1,1,Maranhão
497,21,2017,MA,20826271.6,1,1,Maranhão
498,21,2017,MA,31918924.4,1,1,Maranhão
499,21,2017,MA,9841364.1,1,1,Maranhão
500,21,2017,MA,7011212.0,1,1,Maranhão
501,21,2017,MA,30252554.3,1,1,Maranhão
502,21,2017,MA,20561653.0,1,1,Maranhão
503,21,2017,MA,15594484.5,1,1,Maranhão
504,21,2017,MA,16665119.5,1,1,Maranhão
505,21,2017,MA,12406470.2,1,1,Maranhão
506,21,2017,MA,36019287.3,1,1,Maranhão
507,21,2017,MA,25500328.4,1,1,Maranhão
508,21,2017,MA,25278163.4,1,1,Maranhão
509,21,2017,MA,10683222.8,1,1,Maranhão
510,21,2017,MA,68046836.5,1,1,Maranhão
511,21,2017,MA,16828935.5,1,1,Maranhão
512,21,2017,MA,14139222.2,1,1,Maranhão
513,21,2017,MA,5868406.4,1,1,Maranhão
514,21,2017,MA,65934110.0,1,1,Maranhão
515,21,2017,MA,12497871.9,1,1,Maranhão
516,21,2017,MA,64519773.4,1,1,Maranhão
517,21,2017,MA,58631617.0,1,1,Maranhão
518,21,2017,MA,9632390.6,1,1,Maranhão
519,21,2017,MA,15253613.2,1,1,Maranhão
520,21,2017,MA,4189805.7,1,1,Maranhão
521,21,2017,MA,14736341.0,1,1,Maranhão
522,21,2017,MA,3926363.8,1,1,Maranhão
523,21,2017,MA,7420555.2,1,1,Maranhão
524,21,2017,MA,36597023.4,1,1,Maranhão
525,21,2017,MA,29241064.4,1,1,Maranhão
526,21,2017,MA,15179744.2,1,1,Maranhão
527,21,2017,MA,31369624.2,1,1,Maranhão
528,21,2017,MA,11342953.1,1,1,Maranhão
529,21,2017,MA,34013717.0,1,1,Maranhão
530,21,2017,MA,19160196.9,1,1,Maranhão
531,21,2017,MA,59515500.0,1,1,Maranhão
532,21,2017,MA,12653875.5,1,1,Maranhão
533,21,2017,MA,8771977.3,1,1,Maranhão
534,21,2017,MA,8263848.9,1,1,Maranhão
535,21,2017,MA,18894932.4,1,1,Maranhão
536,21,2017,MA,12251588.9,1,1,Maranhão
537,21,2017,MA,18936152.5,1,1,Maranhão
538,21,2017,MA,18766149.4,1,1,Maranhão
539,21,2017,MA,9737591.9,1,1,Maranhão
540,21,2017,MA,17012350.1,1,1,Maranhão
541,21,2017,MA,20677974.3,1,1,Maranhão
542,21,2017,MA,116249336.8,1,1,Maranhão
